City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
517,riyadh,24.6877,46.7219,48.34,40,100,6.15,SA,1675994805
518,missoula,47.0166,-113.8009,21.56,88,100,1.32,US,1675994805
519,samarai,-10.6167,150.6667,81.39,82,100,8.01,PG,1675994806
520,esperance,-33.8667,121.9,71.71,55,0,2.86,AU,1675994806
521,chaman,30.9236,66.4512,42.93,30,0,3.83,PK,1675994807
522,pouembout,-21.1333,164.9,83.89,71,100,6.13,NC,1675994807
523,ciudad bolivar,8.1222,-63.5497,79.7,63,93,12.1,VE,1675994807
524,zhigansk,66.7697,123.3711,-39.48,97,99,6.96,RU,1675994808
525,sibolga,1.7427,98.7792,75.47,92,100,2.62,ID,1675994808
526,bilibino,68.0546,166.4372,-36.94,98,84,1.43,RU,1675994809
527,zhangjiakou,40.81,114.8794,23.95,85,95,0.31,CN,1675994809
528,houma,29.5958,-90.7195,63.0,69,1,1.99,US,1675994810
529,gulu,2.7746,32.299,71.94,37,24,1.3,UG,1675994810
530,margate,51.3813,1.3862,38.7,74,84,7.11,GB,1675994811
531,prince george,53.9166,-122.753,40.44,65,100,12.66,CA,1675994629
532,sayyan,15.1718,44.3244,46.99,43,6,4.14,YE,1675994811
533,maningrida,-12.0667,134.2667,88.03,65,98,2.73,AU,1675994812
534,oxbow,49.2333,-102.1676,9.64,88,20,7.83,CA,1675994812
535,kariba,-16.5167,28.8,69.04,94,100,4.79,ZW,1675994812
536,cayenne,4.9333,-52.3333,77.04,88,75,4.61,GF,1675994813
537,raigarh,21.9,83.4,62.42,31,16,0.72,IN,1675994813
538,touros,-5.1989,-35.4608,80.33,79,38,12.93,BR,1675994814
539,eureka,40.8021,-124.1637,54.79,78,2,4.59,US,1675994571
540,novo aripuana,-5.1206,-60.3797,74.55,97,100,2.24,BR,1675994814
541,tabatinga,-4.2525,-69.9381,75.29,100,75,0.0,BR,1675994815
542,monrovia,6.3005,-10.7969,77.77,86,92,2.91,LR,1675994815
543,ingham,42.6,-84.3833,39.15,89,100,11.5,US,1675994816
544,koindu,8.4386,-10.3253,71.96,93,92,2.21,GN,1675994816
545,bougouni,11.417,-7.479,79.34,51,0,2.39,ML,1675994817
546,willowmore,-33.2926,23.4895,59.38,94,8,6.46,ZA,1675994817
